:::::END_GAME::::: 2021-07-17 01:08:40,760 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:08:41,606 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:08:41,606 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:08:41,607 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:08:51,524 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:08:52,299 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:08:52,300 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:08:52,300 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:09:12,651 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:09:13,406 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:09:13,406 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:09:13,407 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:12:17,341 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:12:18,118 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:12:18,119 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:12:18,119 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:13:07,556 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:13:08,313 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:13:08,314 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:13:08,314 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:14:49,829 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:14:50,695 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:14:50,695 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:14:50,696 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:14:50,696 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:16:01,409 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:16:01,862 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:16:01,863 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:16:01,863 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:16:01,864 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:28:27,299 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:28:27,794 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:28:27,795 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:28:27,795 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:28:27,795 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:28:38,907 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:28:39,349 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:28:39,349 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:28:39,350 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:28:39,350 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:32:03,461 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:32:03,895 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:32:03,896 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:32:03,896 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:32:03,896 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:32:27,877 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:32:28,009 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:32:28,010 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:34:07,873 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:34:08,041 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:34:08,042 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:34:15,997 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:34:16,131 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:34:16,131 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:34:25,834 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:34:25,971 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:34:25,972 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:35:02,222 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:35:02,354 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:35:02,355 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:35:10,168 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:35:22,747 - INFO - Arguments parsed
